gene,importance,group,scores,logfoldchange,pvals,adj_p_value,pct_nz_group,pct_nz_reference,combined_score
NR4A1,0.021522366324631857,Ref,53.658455,3.5502255,0.0,0.0,0.508725542041248,0.0808098033961069,22.922776099874046
PDK4,0.020461606311837792,Ref,50.93538,3.1787121,0.0,0.0,0.5092543627710207,0.11160377128657392,19.512466852318
SNHG29,0.010067917415020488,Ref,-16.44407,-28.388998,9.249300753890934e-61,9.327539702048848e-59,0.0,0.13447998635710284,16.58609019316758
SNHG29,0.010067917415020488,CKD,37.839317,3.4945996,0.0,0.0,0.22951131393801102,0.026942843793801588,10.555001993311478
MICOS10,0.008148857289001846,Ref,-14.09364,-27.837223,4.155734547076211e-45,2.533621432872737e-43,0.0,0.11525811874192998,9.662601591426828
SPP1,0.012166476821276202,Ref,-36.139,-2.2360597,5.538348907158827e-286,7.090772185613303e-283,0.30407191961924906,0.531683192437937,7.675862880048502
EEF1G,0.008420609856610787,CKD,38.196465,2.6942818,0.0,0.0,0.2640711161817836,0.06432019934589628,6.806248806108037
ATPIF1,0.009189837681923366,AKI,-37.589516,-2.4131052,3.188831851674893e-309,2.4077315778530913e-306,0.07345959722152816,0.2716687258976375,6.6528136422398125
RNASEK,0.008114329851543435,CKD,40.122246,2.7052355,0.0,0.0,0.28769728085187296,0.08417691948294659,6.585351906318119
MICOS10,0.008148857289001846,CKD,32.620113,3.480685,2.127042412067619e-233,1.5658754477038796e-230,0.1970907016543069,0.0227768260395577,6.518105201668551
ATP6V0C,0.007714185950962088,CKD,33.705467,3.290046,4.807212485571404e-249,4.1634701783123863e-246,0.21453698421753184,0.03710481233452733,6.227764711031078
EGR1,0.009700154280389,Ref,42.041737,2.121448,0.0,0.0,0.519478230213291,0.19636026993446537,6.173511985773522
WFDC2,0.01188918507143081,Ref,-34.394062,-2.001736,3.0932278412367595e-259,3.373565934848106e-256,0.3922087079146836,0.5688600872170926,6.0799782747996
ZFP36,0.011230968281358975,Ref,45.33066,1.796025,0.0,0.0,0.6735413361537106,0.3258216191195459,6.051330069501276
FXYD2,0.011543595361827842,AKI,-53.18042,-1.6641934,0.0,0.0,0.49577732247264006,0.662510764161893,5.763232535629854
ATF3,0.00855806434183773,Ref,33.622112,2.7027886,7.972716718451599e-248,7.825752973608141e-245,0.3534285210646924,0.08422052768777255,5.646338643360276
