gene,importance,mean_positive,mean_negative,diff_expression,direction,combined_score
MT-CYB,0.014178836098690277,0.21363554761134343,0.5864814295414269,-0.3728458819300835,UP_in_Ref,0.005286520649958281
TMEM66,0.003601685098230914,0.5175922711097967,1.3135085118900822,-0.7959162407802856,UP_in_Ref,0.0028666396638583227
TSC22D3,0.008131614104977798,0.4895269926882079,0.7480545216839042,-0.2585275289956963,UP_in_Ref,0.002102246101306461
CEBPD,0.009248017271111682,0.4912739702586947,0.2667273271014708,0.2245466431572239,UP_in_AKI,0.0020766112340881585
MT-ND1,0.012193139252710794,0.28894315288112177,0.4307917890765465,-0.14184863619542476,UP_in_Ref,0.0017295801739379267
RPL28,0.0036063550913780175,0.6621036820382583,1.002263465355801,-0.3401597833175426,UP_in_Ref,0.001226736966449263
EGR1,0.008809193868582758,0.4157988115292829,0.5518866371024403,-0.13608782557315746,UP_in_Ref,0.0011988240386278184
ATP5F1E,0.0038261896477389495,0.5038626287894511,0.24667095874993952,0.2571916700395116,UP_in_AKI,0.000984064105389871
KLF6,0.003848755485211962,0.10935169872501958,0.3495331956877777,-0.2401814969627581,UP_in_Ref,0.0009243998538818354
ATP5G3,0.0019654464870271404,0.28396877656200453,0.7308516178574683,-0.4468828412954638,UP_in_Ref,0.0008783243105368765
SPP1,0.01080962341963293,0.29510116197362324,0.37254169738529674,-0.0774405354116735,UP_in_Ref,0.0008371030252149391
SERTAD1,0.0049795430623368045,2.303764042235337,2.471771068251667,-0.16800702601632977,UP_in_Ref,0.000836598220823454
TMSB10,0.005762283583992793,0.3340540863859089,0.47751671074805513,-0.14346262436214624,UP_in_Ref,0.0008266723252785199
PDK4,0.01210837110842353,0.2213834149107644,0.2894194402785211,-0.06803602536775671,UP_in_Ref,0.0008238054438949158
C19orf43,0.005174266354865189,0.08997627631593913,0.2435332395919094,-0.15355696327597027,UP_in_Ref,0.0007945446286341223
NR4A1,0.013457923260832052,0.3071566838798852,0.36239489992811197,-0.05523821604822676,UP_in_Ref,0.0007433916726422973
SGK1,0.005478597059943951,0.21421476109192467,0.3390530224816691,-0.12483826138974441,UP_in_Ref,0.0006839385318183681
IGFBP7,0.0008857595311311824,2.383818045621173,1.6274571787574514,0.7563608668637214,UP_in_AKI,0.0006699538467991845
ATP6V1B1,0.004281622313980034,0.6041311282460177,0.4593307553123278,0.14480037293368986,UP_in_AKI,0.0006199805078255171
DUSP1,0.009213326547870453,0.44970629283086383,0.5103875034050537,-0.06068121057418985,UP_in_Ref,0.0005590758083401006
KLF9,0.01205495417805825,0.2064204469898908,0.16419895253061026,0.04222149445928053,UP_in_AKI,0.0005089781810357671
GNB2L1,0.0098505289740404,0.2750274842741105,0.22536294929603348,0.04966453497807702,UP_in_AKI,0.0004892219407837906
CA2,0.0013335784002358032,0.68052314651341,1.046331509081088,-0.3658083625676781,UP_in_Ref,0.00048783413094588286
GSTP1,0.0027634597453517675,0.39334039455913183,0.21700724491471018,0.17633314964442165,UP_in_AKI,0.00048728956081344854
ITGB6,0.003730051764903157,0.44970509308238327,0.5793540912878711,-0.1296489982054878,UP_in_Ref,0.00048359747457430607
CD74,0.0019585883601158866,0.32790566338092964,0.5729455491761485,-0.24503988579521885,UP_in_Ref,0.00047993226808264183
HERPUD1,0.0019896277033234788,0.30204751256459245,0.5421189907907187,-0.24007147822612623,UP_in_Ref,0.0004776528638565201
ZFAND5,0.004862504851820289,0.7422574084719633,0.8372377098636761,-0.09498030139171276,UP_in_Ref,0.00046184217634455665
MT-ND4,0.004099368117380069,0.3166180727213794,0.20505853505336666,0.11155953766801271,UP_in_AKI,0.0004573236119059122
PKM,0.0009534356847757208,0.0836261220512809,0.5491715702484927,-0.46554544819721183,UP_in_Ref,0.00044386764319612854
BTG2,0.005567648153295997,0.4239921186147345,0.5010868528307438,-0.07709473421600932,UP_in_Ref,0.00042923635458661
GADD45B,0.0015553896344913842,1.0931228150549364,0.8269086944046563,0.26621412065028005,UP_in_AKI,0.00041406668381468434
MT-ND3,0.010756140521590017,0.382219672853127,0.3438601283016952,0.03835954455143181,UP_in_AKI,0.00041260065153939324
S100A11,0.004601693014301979,0.62066914392288,0.5313462682128554,0.08932287571002462,UP_in_AKI,0.0004110364531721842
SHFM1,0.002890099257274282,0.6263055203073246,0.7663760337257165,-0.14007051341839194,UP_in_Ref,0.00040481768679652186
DCDC2,0.0008705442415225497,1.622767305674719,1.1604026358382713,0.46236466983644764,UP_in_AKI,0.00040250890080959444
ATP5ME,0.0012270786310221208,0.1374563535818736,0.46258513630660913,-0.32512878272473555,UP_in_Ref,0.00039895858161175706
JUNB,0.001790689346114727,0.8692875450614429,1.0869087747226316,-0.2176212296611887,UP_in_Ref,0.0003896920174426768
GPX1,0.0031570911957288033,0.4334966902816506,0.3150080296351052,0.1184886606465454,UP_in_AKI,0.0003740795073209064
