gene,mean_expr_CKD,mean_expr_AKI,diff_mean_expr,pct_expr_CKD,pct_expr_AKI,pct_expr_diff,p_value,adj_p_value,importance,combined_score,direction
RPS4Y1,0.18709080139414902,1.0613653792333446,-0.8742745778391956,0.09978132724852634,0.5232622057868173,-0.4234808785382909,0.0,0.0,0.0111270753665972,1.2359017292757852,UP_in_AKI
XIST,0.8177008580180943,0.22725590129265208,0.5904449567254423,0.4740920327058376,0.12782969366848235,0.34626233903735526,0.0,0.0,0.007242051273996,0.44418872026871165,UP_in_CKD
RPL17,1.1336873007889852,0.49527104581966286,0.6384162549693223,0.5743011979463777,0.3127779721153366,0.2615232258310411,0.0,0.0,0.0070334939147193,0.35229507470472254,UP_in_CKD
FXYD2,2.409847481008149,1.3478214126729682,1.0620260683351808,0.6803099448564366,0.49577732247264006,0.18453262238379653,0.0,0.0,0.00337660563237,0.1985225869282753,UP_in_CKD
SNHG29,0.5166231817095531,0.07479510269735895,0.4418280790121942,0.22951131393801102,0.03458098046074659,0.19493033347726443,0.0,0.0,0.0076610115890352,0.19794298375035618,UP_in_CKD
RNASEK,0.5709710032138344,0.12065206291905134,0.4503189402947831,0.28769728085187296,0.08065563939833091,0.20704164145354204,0.0,0.0,0.0066257295206243,0.1853245155021487,UP_in_CKD
RACK1,1.4442906864797713,2.1786205577620468,-0.7343298712822754,0.5975470621791215,0.8247963620008995,-0.227249299821778,0.0,0.0,0.0029278981299129,0.14657873377787994,UP_in_AKI
ATP5E,0.9300279189072647,0.2994037515923797,0.6306241673148849,0.32515687393040504,0.10069461796012193,0.22446225597028313,0.0,0.0,0.0033207359533296,0.14101637052212065,UP_in_CKD
MT-ND4L,2.9285254882540013,2.3051588169193025,0.6233666713346988,0.9589750903213539,0.8225475988206487,0.1364274915007052,0.0,0.0,0.0054089882173132,0.1380011681667497,UP_in_CKD
GNB2L1,0.6852473949098512,0.1915982886793568,0.4936491062304944,0.29401977562274195,0.08760181899955025,0.2064179566231917,0.0,0.0,0.004282327442917,0.1309082316605957,UP_in_CKD
EEF1G,0.4953249654074917,0.10603899965768263,0.3892859657498091,0.2640711161817836,0.06331517665284093,0.20075593952894266,0.0,0.0,0.0055112139511256,0.12921284119805004,UP_in_CKD
GABARAP,0.786188471723297,0.3302802825758542,0.4559081891474428,0.479749001711352,0.2411173854380091,0.2386316162733429,0.0,0.0,0.003731272702922,0.12178214568004249,UP_in_CKD
MT-ND3,4.7717678649792274,3.9944824167404236,0.7772854482388039,0.9494675793877163,0.8637249512767977,0.0857426281109186,0.0,0.0,0.0059545564370793,0.1190550985382085,UP_in_CKD
MIF,1.6868211578676306,1.0173567431403447,0.6694644147272859,0.7650694048298156,0.540152915896257,0.22491648893355853,0.0,0.0,0.0026219762622812,0.11844011017171234,UP_in_CKD
