gene,importance,mean_positive,mean_negative,diff_expression,direction,combined_score
NR4A1,0.017685118823200174,0.30654663646288766,0.5864814295414269,-0.27993479307853925,UP_in_Ref,0.0049506800783419205
RPL17,0.010903639254662482,0.2750772765736152,0.16419895253061026,0.11087832404300493,UP_in_CKD,0.0012089772465264954
DUSP1,0.009231157078677646,0.346747310157738,0.22536294929603348,0.12138436086170454,UP_in_CKD,0.0011205181020092856
NME2,0.008170368018748184,0.8828386901008116,0.7465953520294963,0.13624333807131528,UP_in_CKD,0.0011131582121453713
S100A11,0.004758662739697639,2.2570466790543757,2.471771068251667,-0.2147243891972912,UP_in_Ref,0.001021800950177484
RASD1,0.0033321962005870695,1.0427258492853706,1.3135085118900822,-0.2707826626047116,UP_in_Ref,0.0009023009595162705
GADD45A,0.004830879613416751,2.6805251290644714,2.8637358121893794,-0.18321068312490807,UP_in_Ref,0.0008850687540682748
PDK4,0.01301040734526197,0.36679158411440965,0.4307917890765465,-0.06400020496213688,UP_in_Ref,0.0008326687367376572
MCL1,0.0030757870908658673,0.706339663036959,0.9703656522926728,-0.26402598925571374,UP_in_Ref,0.0008120877294058145
SGK1,0.009054248757017502,0.3489685346481409,0.2667273271014708,0.08224120754667014,UP_in_CKD,0.0007446323512050564
JUND,0.005213190700298578,0.42584994852781255,0.28689842172976265,0.1389515267980499,UP_in_CKD,0.0007243808072958824
EGR1,0.004848305093777212,0.09637823373135132,0.2435332395919094,-0.14715500586055807,UP_in_Ref,0.0007134523644885593
MICOS10,0.006591815138194655,0.6427701159067397,0.7480545216839042,-0.10528440577716447,UP_in_Ref,0.0006940153398177416
TSC22D3,0.010859980966359142,0.27846918735341647,0.2193721220199777,0.05909706533343878,UP_in_CKD,0.0006417930046888279
HNRNPH1,0.006392777564228456,0.378455901259742,0.47751671074805513,-0.09906080948831314,UP_in_Ref,0.0006332737203911976
RPS26,0.00338546504458346,0.8158093735524845,1.002263465355801,-0.1864540918033164,UP_in_Ref,0.0006312338102196832
MT-CYB,0.008331070260196942,0.49807621594432616,0.427680473728355,0.07039574221597117,UP_in_CKD,0.0005864718744199677
RPS4Y1,0.0038050372976687194,0.197169562721792,0.3495331956877777,-0.15236363296598568,UP_in_Ref,0.0005797493062438827
HLA-DRB5,0.004465434478559913,0.3306011156897732,0.20505853505336666,0.12554258063640653,UP_in_CKD,0.0005606021681011978
RNASEK,0.010139377015999275,0.27674256419801135,0.22894145589217843,0.04780110830583292,UP_in_CKD,0.0004846734588954544
C8orf59,0.0035742509411932754,0.37278651530699924,0.24667095874993952,0.12611555655705972,UP_in_CKD,0.0004507686467231845
EEF1G,0.008456239279544295,0.4636230485850105,0.5103875034050537,-0.046764454820043155,UP_in_Ref,0.00039545141973572345
PAX8,0.0023400737279005283,0.4734842604421558,0.3150080296351052,0.1584762308070506,UP_in_CKD,0.0003708460642082794
MT-CO2,0.0017608441391746082,0.3189709616583637,0.11281125724428477,0.20615970441407894,UP_in_CKD,0.0003630151072515005
ZFAND5,0.006074517122291183,0.4438682617779091,0.5010868528307438,-0.05721859105283472,UP_in_Ref,0.0003475753110638216
CEBPD,0.013294215026297245,0.33676958791604267,0.36239489992811197,-0.0256253120120693,UP_in_Ref,0.00034066840800440703
USMG5,0.00037850087480506306,0.7006504150038529,1.596145587092412,-0.895495172088559,UP_in_Ref,0.00033894570601923006
SLC3A2,0.0007611299011553255,0.128304721914285,0.5491715702484927,-0.42086684833420773,UP_in_Ref,0.00032033434267216893
DHRS3,0.0015999142469985351,0.3746557718153016,0.5729455491761485,-0.1982897773608469,UP_in_Ref,0.00031724663983378657
ITM2C,0.0025845107785507043,0.4005851672309432,0.29093090118200093,0.10965426604894224,UP_in_CKD,0.0002834026325175578
MUC1,0.0009724462491957431,0.18125150526934472,0.46258513630660913,-0.2813336310372644,UP_in_Ref,0.00027358183427480685
ZFP36,0.008278523571280033,0.5199434133467058,0.5518866371024403,-0.03194322375573455,UP_in_Ref,0.0002644427308045208
ATP6V0C,0.0056829488714208965,0.29362612941954364,0.3390530224816691,-0.04542689306212544,UP_in_Ref,0.0002581587106595635
SPP1,0.004571990878691688,0.5876794399139295,0.5313462682128554,0.0563331717010741,UP_in_CKD,0.0002575547471850835
SRGN,0.0012472586840388791,1.0325746975376764,0.8269086944046563,0.20566600313302008,UP_in_CKD,0.0002565187084192266
ACTG1,0.0012206897759884424,0.8532014243327313,0.6434767379569499,0.20972468637578134,UP_in_CKD,0.00025600878043129886
SNHG29,0.009593506338087286,0.3176327962826668,0.3438601283016952,-0.026227332019028438,UP_in_Ref,0.0002516120759556689
GABARAPL1,0.0005422240678576198,0.34044924220741735,0.7966128114284972,-0.4561635692210798,UP_in_Ref,0.00024734286611150484
KLF6,0.005096062896482909,0.24401468283862796,0.19600578916672257,0.04800889367190539,UP_in_CKD,0.00024465634174259017
FAM96B,0.0017405455574352976,0.1244232562913698,0.2626398293725178,-0.138216573081148,UP_in_Ref,0.00024057224224032327
MT1M,0.0031046433025498335,0.36752397949449,0.44173912897565765,-0.07421514948116764,UP_in_Ref,0.00023041156678444186
NFKBIA,0.006826345297029235,0.24916617228104726,0.2820202371453412,-0.03285406486429393,UP_in_Ref,0.0002242731911746663
RPLP2,0.0003344249844640459,1.6038108806615812,0.9475363087870389,0.6562745718745423,UP_in_CKD,0.0002194746135032922
ATP1B1,0.001024180231270751,0.8368099628556915,1.046331509081088,-0.20952154622539654,UP_in_Ref,0.00021458782566933197
RPL39,0.0010192135289247798,1.385417163986731,1.176142946219205,0.20927421776752597,UP_in_CKD,0.000213295114003813
B2M,0.001631145384329195,0.4135150420484543,0.5421189907907187,-0.12860394874226438,UP_in_Ref,0.00020977173739745295
HSP90AB1,0.0007396764743641366,2.018910481551282,1.735316060980201,0.283594420571081,UP_in_CKD,0.00020976812115735736
SLC25A5,0.001049768720936906,1.1936875387770538,1.0032863966153722,0.19040114216168158,UP_in_CKD,0.00019987716347199448
MTRNR2L12,0.003090089604215069,0.26865567781695937,0.2052423497821332,0.06341332803482616,UP_in_CKD,0.0001959528657290963
RPS10,0.0019879799822948175,0.8016282303525679,0.7084789268660013,0.09314930348656658,UP_in_CKD,0.00018517895069599923
PNRC1,0.0002455890252416247,0.7614109386085273,1.5111102610281273,-0.7496993224196,UP_in_Ref,0.0001841179258173361
SERTAD1,0.006336742583525906,0.24256348560171576,0.2705910482515693,-0.028027562649853566,UP_in_Ref,0.00017760344975576727
KCNJ16,0.0005118588355145428,0.7553895431879645,1.0982210530748115,-0.3428315098868471,UP_in_Ref,0.000175481337428374
PCSK1N,0.0017809308879308853,0.22566796202430806,0.3189855243627403,-0.09331756233843225,UP_in_Ref,0.00016619212915492987
APP,0.0015644600635472716,0.8157660563997525,0.9213274733351571,-0.10556141693540455,UP_in_Ref,0.00016514662104690303
MT-ND5,0.0014093645442856421,0.9731562964693129,1.0869087747226316,-0.11375247825331869,UP_in_Ref,0.0001603187096748509
BTG3,0.000493365216887157,0.4580265382287898,0.7828067939188973,-0.3247802556901075,UP_in_Ref,0.00016023528128921618
TMEM176B,0.0011738913684668836,0.36330843269882424,0.22824097248288694,0.1350674602159373,UP_in_CKD,0.00015855452570823298
CLDN3,0.0005299467778344131,0.08177003316306355,0.3745003773137818,-0.2927303441507182,UP_in_Ref,0.00015513150265703194
TMSB10,0.0022387649261618784,0.3159753558005435,0.24716712943478014,0.06880822636576334,UP_in_CKD,0.00015404544381907796
MRPL54,0.00041545443623336394,1.140418921926776,0.7762165542824456,0.36420236764433034,UP_in_CKD,0.0001513094893245316
TPT1,0.0034320985325847473,0.5354511307968226,0.5793540912878711,-0.04390296049104847,UP_in_Ref,0.0001506792862774536
TSPAN1,0.004488043051928532,0.4928860266982356,0.4593307553123278,0.0335552713859078,UP_in_CKD,0.00015059750259909983
RPL35A,0.0005444334461350182,0.4962295122797997,0.7689879818756499,-0.27275846959585015,UP_in_Ref,0.0001484988335645823
RPL22,0.0003787066156818421,0.2529949532176517,0.641065024146303,-0.38807007092865126,UP_in_Ref,0.00014696470320880195
UQCR11,0.0006595392842949424,0.6521841673615993,0.8716062160989952,-0.2194220487373959,UP_in_Ref,0.00014471746098279208
NPM1,0.00030562217186161134,0.4246585098967085,0.8917874518127779,-0.46712894191606935,UP_in_Ref,0.00014276496176780562
RPL37,0.0006921621458041868,1.0766647413959358,1.2817463936257423,-0.20508165222980645,UP_in_Ref,0.00014194975647245083
SCIN,0.0009850923197264035,0.7603198366769633,0.9038983564481717,-0.1435785197712084,UP_in_Ref,0.00014143809710430295
ASAH1,0.0005630957255748517,0.5410385605583469,0.2916500701373355,0.24938849042101136,UP_in_CKD,0.00014042959296363636
FOS,0.0017520419530950822,0.3355129965707407,0.256315722748352,0.07919727382238867,UP_in_CKD,0.00013875694630758386
LNPEP,0.0005429776369305107,0.8683439292483858,1.1236081490891605,-0.25526421984077474,UP_in_Ref,0.00013860276288205425
MT-ND4L,0.002530900350348751,0.13538346192198444,0.08096907793833223,0.05441438398365221,UP_in_CKD,0.00013771738348823684
GABARAP,0.006587799824789486,0.20469734215718718,0.22529434646564406,-0.020597004308456873,UP_in_Ref,0.00013568894137444047
UGT2B7,0.0008333099787707285,0.9734678451744652,1.135947020154854,-0.16247917498038889,UP_in_Ref,0.00013539551785359335
