gene,importance
NR4A1,0.01123820819545991
RPS4Y1,0.011127075366597279
PDK4,0.008050603022064418
SNHG29,0.007661011589035218
MT-ND1,0.007357221688163038
XIST,0.007242051273996076
MT-CYB,0.0071958342507574494
KLF9,0.0070568431286772825
RPL17,0.007033493914719344
RNASEK,0.006625729520624352
CEBPD,0.006083963326988401
MT-ND3,0.005954556437079377
DUSP1,0.005922995503446723
NME2,0.005570896788295643
EEF1G,0.005511213951125657
MT-ND4L,0.005408988217313276
SPP1,0.005359195669686595
MT-ND2,0.005165296575084638
WFDC2,0.005129794621235667
CYBA,0.00509417783522495
MICOS10,0.005015551769798189
TSC22D3,0.004981894432292265
SGK1,0.004689766064832646
EGR1,0.004387363031680134
GNB2L1,0.004282327442917079
ZFP36,0.004098797902795796
ATP6V0C,0.0040917307401972655
MTRNR2L12,0.003982656385518866
GABARAP,0.003731272702922035
ADIRF,0.003547597541695379
FXYD2,0.0033766056323700487
ATP5E,0.003320735953329663
SERTAD1,0.003223784845321689
BTG2,0.0031341829209004034
NFKBIA,0.003113466864884644
JUND,0.0030723989844001374
RACK1,0.0029278981299129076
MT2A,0.0028587026792231203
ATF3,0.0028157638875877826
RPS10,0.0027842834763740654
PFN1,0.0027382215695590565
MT-ND5,0.002730977886023808
RPL28,0.002716344495832956
KLF6,0.0027071757946662074
ZFAND5,0.0026690023609930637
MT-ND4,0.002639969601399423
GADD45A,0.0026301827173021227
MIF,0.002621976262281229
S100A11,0.0025971964308941025
TMSB10,0.0025329009649303963
RPS26,0.002515216997582288
ATP5F1E,0.002441315984250878
ATP5G2,0.0024344385845663065
ATP5L,0.0023681480036429297
MT-ATP6,0.0023549538153906937
RPL36A,0.0023089089061567648
TSPAN1,0.002136811691596389
ITM2B,0.0020885091667539753
MT-CO3,0.00207491047839546
TPT1,0.002074195051807172
RPS19,0.0020719498113418067
HLA-DRB5,0.0020326026382014224
LTF,0.0019775174062101743
GSTP1,0.0019458802109741128
MT1M,0.0019257916973706524
RPL37A,0.001925628515162186
EIF1,0.0019140063637642431
FOS,0.0018567422785878737
ATP6V1B1,0.0018486973448952663
HIST1H4C,0.0018250715214508096
ATP5D,0.00179647749556179
PIGR,0.0017519470745329705
MT-ATP8,0.0017502950100761125
RPS29,0.0017048987355760303
COX7A1,0.001678107064589161
MALAT1,0.0016711398459612243
HNRNPH1,0.0016629721464817577
CLU,0.001620038786322078
CD74,0.0016123726097281702
ALDOA,0.0016069371951995762
LCN2,0.0016061780108161908
MINOS1,0.0015332249148195302
TCEB2,0.001529972506257746
NDUFA13,0.001527126931526262
GPX1,0.0015198475696872713
TMSB4X,0.001515068406055507
CEBPB,0.0015031769384033684
ATP5I,0.0014879246758959627
DEFB1,0.001487825140732614
DHRS3,0.0014829072770653263
MT-CO2,0.0014547159584591847
MT-CO1,0.0014436519665646317
B2M,0.0014351423095086855
ARG2,0.0014136555830463382
C19orf43,0.0013587805927038998
ATP5MG,0.0013453413582955693
HERPUD1,0.0013397541610134318
MCL1,0.0013368463876255337
SH3BGRL3,0.0013362113577011126
ITGB6,0.0013357793502863867
