gene,mean_expression,variance,rank
MALAT1,4.212897901695916,4.719398428065052,1
WFDC2,1.8313713123992057,3.716518117030569,2
DEFB1,1.6258721695602902,3.6061523655654746,3
FXYD2,1.895334464000722,3.3985594092328566,4
SPP1,1.5615073450106707,3.3834180279391393,5
MT1G,1.0647431702014563,3.1037905780319166,6
IGFBP7,2.2933646936157706,2.8721716069710306,7
TMSB4X,2.8663889511130107,2.8413669445213667,8
MT-ND3,4.482042136306213,2.552441593866483,9
ATP1B1,1.6964013630496775,2.39473080917173,10
CD74,1.5102891997054444,2.276150829388543,11
CLU,1.371160345052578,2.203636039984355,12
S100A4,1.0936619382785406,2.2036089308364826,13
S100A6,3.132269247926679,2.1710687856002338,14
HLA-DRA,1.081445593611124,2.129519440266263,15
MT2A,1.7050229041978644,2.103565090739107,16
HLA-DRB1,1.0906958084364902,2.028168207478217,17
FOS,1.1537136452610104,2.009417853611017,18
CRYAB,1.1105477448044008,1.9842525777763051,19
UMOD,0.49782469451371636,1.9357514336936184,20
ATP5F1E,1.9762255962554478,1.9068616301344794,21
FTL,3.3229120530897784,1.9026102954600344,22
CD24,1.1495257194940798,1.8208324478749605,23
MT-ATP6,4.372655557965885,1.7902248924043924,24
VIM,1.1816302445156552,1.7849342112621869,25
APOE,0.7953108243692073,1.7758833730085386,26
MT1X,1.0094292255222181,1.7622611372877255,27
GPX3,0.8359011964292877,1.7455999642623414,28
MT-CO3,4.361483358815426,1.6788096448197436,29
RACK1,1.7483834972772436,1.6360907001347238,30
ADIRF,0.8506817998865109,1.6306996267804998,31
CST3,1.6867486437884078,1.6172823049825893,32
TMSB10,3.098318284348532,1.6165842605982004,33
PDZK1IP1,0.8319266473109073,1.6152283852733333,34
MAL,1.132432445402083,1.6084655782731634,35
S100A2,0.7515257827341403,1.6021081425650605,36
HLA-B,1.9707431959472073,1.5873137871742968,37
JUNB,1.0832370481533011,1.5837007666537755,38
FXYD4,0.5213799822233154,1.581473962705038,39
MMP7,0.6990012767509687,1.5801803397469154,40
MT1E,1.1137765707616818,1.573195596542778,41
CYBA,1.6072297234299544,1.5512143627793695,42
IGFBP5,0.5183335235683729,1.550503351979995,43
MT-ND4L,2.6565617295192667,1.5470281282992584,44
B2M,3.4912385248221325,1.5437885924041694,45
CD9,1.3598163014304754,1.5355311021479572,46
CTSD,1.5341789255553078,1.5334581975800359,47
CYB5A,1.4448200961824937,1.5316552883777645,48
ATP5E,0.6669575853231057,1.5285564091659933,49
ATP1A1,1.224648856379747,1.5002063844712332,50
MT-ND4,4.3541563980960545,1.4846679016215951,51
IL32,0.8175937780357467,1.4581833241640592,52
AQP2,0.4548655109623475,1.4571529576304991,53
HLA-DPA1,0.6652761216317967,1.4506248848568968,54
GSTP1,2.212779000503986,1.4394442872778797,55
NEAT1,1.3216458139715768,1.4393343544682176,56
SAT1,1.5899344514365503,1.4371718723819806,57
S100A11,2.429809936788201,1.4264328073260364,58
ATP5MG,1.4402205932162613,1.4023960607150245,59
IFITM3,1.2942376774682416,1.4018101317592304,60
PIGR,0.8596356095816013,1.3864775715758133,61
ATP5MC3,1.2311941525201797,1.360152451371564,62
PCSK1N,0.99461170717284,1.3535213507054933,63
SLC12A1,0.49916439647494854,1.3493509918786468,64
LGALS1,0.7942068263545033,1.345894343962867,65
PEBP1,1.6481890439841662,1.341432631708789,66
HLA-DPB1,0.6135565700586145,1.3274480401011028,67
MT1H,0.47714727661131207,1.3257110738706972,68
LDHB,1.7421040197289117,1.3226648197505617,69
EPCAM,1.0507041230628023,1.3066573465711337,70
CXCL14,0.7418795635312992,1.2984913503756017,71
MT-ND1,3.237117376171216,1.2956707650808585,72
IER2,0.9812339182123969,1.288811152696018,73
MT-CYB,3.851272769707568,1.2873065988745083,74
DUSP1,0.8416590151216856,1.2850413451693568,75
ITM2B,2.792576539075008,1.2838455654098384,76
ATP5F1D,1.2666313966917055,1.2820903879067183,77
MIF,1.3685797619787836,1.2813572175949013,78
KRT19,0.7100083499098498,1.28104836251838,79
TXNIP,1.5286273711007388,1.2802863438665883,80
ATP5MC2,1.3547924777811042,1.2783184235835574,81
