gene,total_counts,expressed_cells
MT-CO1,19909948.786378153,108416
MT-CO2,17246082.800473392,108401
EEF1A1,2385125.395272266,107912
MT-ND2,5480950.223963342,107742
MT-CYB,6622988.9506038595,107588
MT-ND4,10254199.203177799,107474
RPL41,2557356.353668925,107364
MT-CO3,12985383.045634536,107263
MT-ND1,4123656.667936744,106944
MT-ATP6,10421474.02168905,106806
RPLP1,1762012.1829950414,106377
RPL13,1539669.148275245,105897
MT-ND3,17814257.92896298,105872
MT-ND5,2032515.0343939152,105811
RPS28,1500138.5715067575,105804
MT-ND4L,2586006.2110592336,105077
RPL10,1677475.1639443329,104589
RPS24,1316340.2825574249,104236
RPS18,1561918.2163768027,104231
TPT1,1521542.7142756467,103932
RPS12,1663483.7389644603,103913
RPL39,1478045.2173599747,103748
RPS27,1358349.0551162239,103455
FTH1,1760279.4758430237,103280
RPL32,1259919.5661180397,103186
RPS27A,1277601.4775247953,103151
RPL34,1306620.2809113162,103033
RPL28,1223942.7911370946,102957
RPS23,1296612.4686520994,102657
RPS15,1065388.2576615892,102432
RPL36,951712.3327352528,102179
FTL,2647214.5522073703,102145
RPS14,977490.8574416575,101910
RPL11,1198522.2989605654,101884
SERF2,930354.0628582208,101622
RPL3,1046280.7896374313,101407
RPL19,1028604.5642957891,101393
RPL8,981153.2343573702,101122
RPS19,1054351.033523936,100787
RPL26,1073608.06491142,100563
B2M,1766632.2933446176,100309
RPS9,800549.7093162433,100076
RPL30,1045528.9771887484,99850
PTMA,936481.0300482718,99521
ITM2B,1175351.9824511243,99444
RPS3A,964596.5406368582,99336
ACTB,919242.3720814659,98840
RPL18,753581.2181392652,98804
FAU,800723.8137947571,98768
RPL24,815458.0292405575,98750
RPS8,927966.8914625823,98750
RPS4X,1054721.2691943233,98696
RPL35,691532.8131586092,98694
RPL18A,837267.6884177651,98588
RPL7A,898778.5386180814,98549
RPL29,801879.9995015184,98337
RPS6,781519.3434898676,98000
RPS13,858968.2449389829,97980
RPS15A,899850.8769293337,97795
RPL37,710681.5588391039,97587
RPL15,704625.7083917462,97181
RPS26,718736.0695728703,97135
RPL35A,736216.8183791172,97011
RPS25,717248.6981171103,96966
RPL9,624038.4952777366,96847
RPS3,824052.9160391558,96775
EIF1,700058.5095617445,96419
RPL12,793069.4144266152,96118
RPS7,707976.9527040521,96039
MYL6,651540.4442206238,95806
MALAT1,12653833.160769217,95687
RPL21,605429.9250646223,95376
RPS21,599740.7636623691,94469
PPIA,541307.4228461783,93978
GAPDH,672938.5468080096,93972
TMSB10,1200430.081208136,93927
RPS29,562596.1527780397,92992
COX7C,716867.6703537503,92985
S100A6,2135994.92218881,92847
RPL14,638697.5802755697,92425
RPL6,567765.5407849256,91311
NDUFA4,746587.9339554947,90747
RPLP2,411992.36214762996,90719
PFDN5,438161.04983776005,90339
UBA52,413093.5178068964,89709
ACTG1,595465.5432479546,89699
NACA,518024.5409819058,89594
RPL22,431933.7887061442,88619
RPL5,545647.7608419704,88514
SRP14,466603.15614145907,88279
RPL37A,391731.55071630224,88075
RPL27,384270.5653697221,87530
RPL23A,393455.8156636326,87293
RPS2,399278.5059360872,86983
RPL38,355925.29282952944,86961
COX5B,539761.0567015039,86645
RPS5,450621.1503882659,86429
RPL10A,432467.37710678694,86330
H3F3A,402263.0460379833,86182
UBB,389801.230567952,86166
COX4I1,420072.1335546484,86101
RPL27A,323302.5070311102,85858
GSTP1,649126.1130636494,85727
COX8A,468201.89945060946,85182
UBL5,387190.0955935449,84963
COX6B1,440344.84331532026,84552
HINT1,428805.58226517745,84551
UQCRB,461462.9708838061,84136
TMA7,360810.07911501423,83759
RPS11,278580.81138473446,83503
RPS16,296946.8922938124,83244
S100A11,682051.0146539571,82912
COX6C,408920.8179316399,82738
GPX4,372655.4357030792,82441
H3F3B,381531.8705072192,82384
MYL12B,349288.2125071934,82103
RPS10,390214.77768956294,82065
CD63,458091.9094880432,82036
HSP90AA1,367021.7975895985,81661
TMBIM6,319070.32849868597,81230
PFN1,355141.3617990103,81207
RPL13A,252222.5642112151,80773
LDHB,460393.78905464493,80711
NDUFB2,373578.02963957685,80566
RPLP0,287620.08907641325,80470
CHCHD2,339324.0327317097,80393
PRDX1,385490.34011384833,80357
MT-ATP8,270748.137090678,80336
EDF1,284203.61882377835,80259
IGFBP7,1283567.3443937392,80142
S100A10,472468.05948515685,80030
EEF1D,266036.59560592606,79610
PPDPF,422781.244116006,79593
CFL1,282073.1291703866,79587
SKP1,328999.9891714256,79410
COX7B,458681.4188164809,79251
UBC,281669.8090251341,78940
HLA-A,306401.77646920865,78562
RPL7,290323.42809011304,78352
RPSA,277247.962717444,78222
PEBP1,421044.313298049,78156
POLR2L,279563.7577908211,77952
OAZ1,257839.1864429565,77946
TOMM7,274316.00216148567,77939
OST4,294360.0559473057,77908
TMSB4X,1260174.7863498654,77892
UQCR10,320085.3415543357,77396
COX6A1,349527.669631797,77321
CALM2,328872.9765171522,77285
RPL36AL,272673.26445605035,77254
COX7A2,321019.27492198785,76463
NDUFA1,310556.96228528966,76216
UQCRQ,344006.1148369189,76215
GNAS,278910.65315430216,76099
HMGB1,236766.87488533813,76072
MGST3,343199.4735759612,75973
RPL23,238219.72674053675,75889
HNRNPA2B1,216541.82377360042,75530
UQCRH,343835.5282212892,75405
ATP1B1,1196928.3926964526,75204
DSTN,305412.8913291849,74862
CST3,410281.9612026524,74519
TXNIP,307641.46405999275,74144
CTSD,441062.2422844437,74104
NDUFS5,274410.8274588545,74099
DYNLL1,280549.4751269364,74045
HLA-B,379603.85199600726,73596
SUMO2,243451.13879938304,73519
TMEM59,283495.64067747165,73490
CHCHD10,364187.3396726745,73442
SLC25A3,244621.38160942384,73348
CIRBP,191570.6451184574,73203
BTF3,245156.31200389034,73115
NDUFB7,239853.18446150856,73114
PRDX5,280513.14080379595,73023
NDUFA13,261325.99446956557,72685
FXYD2,1689812.3879523769,72666
EIF3K,236413.84203170618,72644
SOD1,250272.03779453595,72538
HNRNPH1,216582.0843621664,72496
CD81,303647.45272623526,72473
ATP6V0E1,284948.94507761876,72413
COMMD6,232666.36401465078,72303
ENO1,259585.42027899486,72170
SAT1,378266.1907360469,72151
HLA-C,259675.44913180268,72130
CALM1,208073.18489141847,72112
MT2A,641177.9799158875,71783
DDX5,180969.85526213105,71751
TPI1,231387.04655443053,71649
EEF1B2,250317.5779554743,71532
NPM1,232162.7611380294,71350
RPL4,194673.36616089544,71121
MYL12A,231772.18393879116,70989
JUND,287829.13535684417,70703
RTN4,317747.32359419955,70437
NDUFB1,240550.46705664808,70246
LAPTM4A,266452.9548341055,70225
NEAT1,373848.1393165801,70080
DDX17,195601.71302668462,70041
CYB5A,388984.78316498507,69768
HNRNPA1,194040.70266431972,69712
HSPE1,279476.2305674831,69560
HSP90B1,242941.57841989954,69547
SLC25A6,209859.98764516518,69513
DBI,263939.4704278911,69496
YBX1,199760.3122310858,69172
TXN,280137.4642005611,69128
YWHAE,197205.63360690553,69066
SEC61G,218204.4149768078,68879
SUB1,211324.97806115024,68801
SSR4,216750.89801859198,68605
ATP5F1E,529917.7698090227,68524
NDUFA3,207482.21473951655,68469
BSG,262146.1329789103,68462
HSP90AB1,210889.15102228135,68458
NDUFB11,203276.4813212474,68454
MIF,308946.1850742931,67899
ATP1A1,524792.6660887508,67814
NDUFC1,224956.56887992917,67602
APP,259220.5817974146,67592
PCBP2,175135.55026693983,67479
CDC42,169631.89714792673,67456
PRDX2,231357.2273188785,67352
EEF2,160770.94708752658,67350
ATP6V0B,291380.98300156515,67070
CYSTM1,308538.594783242,66441
MZT2B,166393.1162135445,66419
CALR,187931.00248338538,66272
